,AvgAcc,Reg1Acc,Reg2Acc,numsub,numvox,TRs,n_clusters,corrstrength,bootstraps,noiselevel,SNR,reps
0,0.628576088,0.770583584,0.486568592,1,500,400,2,0.5,100,2.5,0.2,3
0,0.686385986,0.669318496,0.703453477,1,500,400,2,0.5,100,2.5,0.2,4
0,0.574731601,0.651527643,0.497935559,1,500,400,2,0.5,100,2.5,0.2,5
0,0.61538307,0.644649473,0.586116667,1,500,400,2,0.5,100,2.5,0.2,6
0,0.578747381,0.637442457,0.520052305,1,500,400,2,0.5,100,2.5,0.2,7
0,0.441990623,0.263897599,0.620083646,1,500,400,2,0.5,100,2.5,0.2,8
0,0.54274559,0.71368604,0.371805139,1,500,400,2,0.5,100,2.5,0.2,9
0,0.660410876,0.63136426,0.689457492,1,500,400,2,0.5,100,2.5,0.2,10
0,0.638340525,0.752141007,0.524540043,1,500,400,2,0.5,100,2.5,0.2,11
0,0.653954258,0.695503213,0.612405303,1,500,400,2,0.5,100,2.5,0.2,12
0,0.592620059,0.572548473,0.612691645,1,500,400,2,0.5,100,2.5,0.2,13
0,0.700398338,0.717478033,0.683318643,1,500,400,2,0.5,100,2.5,0.2,14
0,0.569574926,0.490059287,0.649090565,1,500,400,2,0.5,100,2.5,0.2,15
0,0.511282823,0.593008937,0.429556709,1,500,400,2,0.5,100,2.5,0.2,16
0,0.488418787,0.25845465,0.718382923,1,500,400,2,0.5,100,2.5,0.2,17
0,0.534295778,0.543121968,0.525469588,1,500,400,2,0.5,100,2.5,0.2,18
0,0.642640615,0.769976659,0.515304571,1,500,400,2,0.5,100,2.5,0.2,19
0,0.459992392,0.525028233,0.394956552,1,500,400,2,0.5,100,2.5,0.2,20
0,0.73889405,0.817423814,0.660364285,1,500,400,2,0.5,100,2.5,0.2,21
0,0.536961432,0.571719159,0.502203705,1,500,400,2,0.5,100,2.5,0.2,22
0,0.629206336,0.631015783,0.627396889,1,500,400,2,0.5,100,2.5,0.2,23
0,0.559065553,0.605829423,0.512301684,1,500,400,2,0.5,100,2.5,0.2,24
0,0.765098461,0.733510402,0.796686521,1,500,400,2,0.5,100,2.5,0.2,25
0,0.599521409,0.4739873,0.725055518,1,500,400,2,0.5,100,2.5,0.2,26
0,0.496321247,0.45417639,0.538466103,1,500,400,2,0.5,100,2.5,0.2,27
0,0.748591505,0.694424787,0.802758224,1,500,400,2,0.5,100,2.5,0.2,28
0,0.584251008,0.666546136,0.501955881,1,500,400,2,0.5,100,2.5,0.2,29
0,0.6210822,0.65614671,0.586017691,1,500,400,2,0.5,100,2.5,0.2,30
0,0.424370797,0.377413146,0.471328448,1,500,400,2,0.5,100,2.5,0.2,31
0,0.619186382,0.669809679,0.568563084,1,500,400,2,0.5,100,2.5,0.2,32
0,0.672127649,0.715685152,0.628570147,1,500,400,2,0.5,100,2.5,0.2,33
0,0.62589974,0.66849266,0.583306821,1,500,400,2,0.5,100,2.5,0.2,34
0,0.632994233,0.615804052,0.650184413,1,500,400,2,0.5,100,2.5,0.2,35
0,0.581828875,0.677836577,0.485821173,1,500,400,2,0.5,100,2.5,0.2,36
0,0.645312044,0.75117455,0.539449538,1,500,400,2,0.5,100,2.5,0.2,37
0,0.659129843,0.56222871,0.756030976,1,500,400,2,0.5,100,2.5,0.2,38
0,0.423547942,0.432361823,0.414734061,1,500,400,2,0.5,100,2.5,0.2,39
0,0.51091931,0.608208958,0.413629661,1,500,400,2,0.5,100,2.5,0.2,40
0,0.65604271,0.656463709,0.655621711,1,500,400,2,0.5,100,2.5,0.2,41
0,0.67478988,0.493171905,0.856407855,1,500,400,2,0.5,100,2.5,0.2,42
0,0.603830224,0.54241414,0.665246308,1,500,400,2,0.5,100,2.5,0.2,43
0,0.460151439,0.327781543,0.592521336,1,500,400,2,0.5,100,2.5,0.2,44
