,GBS_IBS,Replication_time,clusternum,group_label_acc,gsm_acc,ism_gsm_corrmean,ism_gsm_corrstd,ref_rep_ismgsmcorr
0,30,20Min,12,0.205596207,0.466443064,0.20948246,0.050548872,0.598393592
0,60,20Min,2,0.711975636,0.853701765,0.309834729,0.106975379,0.372565489
0,60,20Min,4,0.596257947,0.76021145,0.316278564,0.124235708,0.584743303
0,60,20Min,6,0.278611224,0.766622825,0.285815715,0.095467697,0.600427426
0,60,20Min,8,0.240634724,0.618649489,0.262758632,0.078444001,0.48952266
0,60,20Min,10,0.196282673,0.627680505,0.257105154,0.062375282,0.496121876
0,60,20Min,12,0.302364685,0.650342057,0.251064871,0.056542463,0.509821226
0,100,20Min,2,0.723026868,0.86525217,0.309770934,0.107769966,0.397428894
0,100,20Min,4,0.571950791,0.878524845,0.342684761,0.117225342,0.623711925
0,100,20Min,6,0.542863445,0.848606065,0.299443861,0.105186861,0.616370139
0,100,20Min,8,0.281243528,0.780673342,0.285601505,0.08783655,0.61376317
0,100,20Min,10,0.273557391,0.673918414,0.276651598,0.063512442,0.596081067
0,100,20Min,12,0.28594389,0.646068778,0.262522155,0.055436363,0.600800765
0,0,30Min,2,0.884502496,0.886516338,0.246129003,0.120487177,0.291407321
0,0,30Min,4,0.513450325,0.546575024,0.175909709,0.06360104,0.481502701
0,0,30Min,6,0.609841827,0.617328236,0.156193367,0.056204872,0.43828687
0,0,30Min,8,0.379003812,0.387175902,0.10987006,0.032710326,0.406125647
0,0,30Min,10,0.258288383,0.259816453,0.101925243,0.033002009,0.021294085
0,0,30Min,12,0.244490753,0.245362919,0.09338907,0.025651167,0.297392613
0,10,30Min,2,0.734763844,0.776539234,0.293904411,0.089243956,0.502513695
0,10,30Min,4,0.620323335,0.704503415,0.265915049,0.077568865,0.572170559
0,10,30Min,6,0.35375475,0.579795896,0.23162299,0.070534274,0.643539731
0,10,30Min,8,0.343960035,0.417002226,0.166011432,0.047840976,0.526728806
0,10,30Min,10,0.382225683,0.437308293,0.165880742,0.037348994,0.459162745
0,10,30Min,12,0.20866754,0.322027364,0.159949751,0.033498819,0.447528412
0,30,30Min,2,0.826098469,0.892115673,0.341778332,0.112360295,0.541381432
0,30,30Min,4,0.579669918,0.769744552,0.321344071,0.103401996,0.616252206
0,30,30Min,6,0.373250765,0.48574425,0.281132406,0.085676509,0.652904129
0,30,30Min,8,0.266179776,0.517159209,0.261493388,0.068749354,0.559955938
0,30,30Min,10,0.199996828,0.475441743,0.238616579,0.056665297,0.556183548
0,30,30Min,12,0.163695826,0.403356457,0.227664863,0.041345039,0.612178888
0,60,30Min,2,0.782082382,0.882361445,0.350353207,0.104715647,0.499420126
0,60,30Min,4,0.767672532,0.863353069,0.352659651,0.095325397,0.640561208
0,60,30Min,6,0.555922477,0.830618331,0.319027947,0.089084917,0.667317979
0,60,30Min,8,0.250503358,0.653640039,0.29524144,0.073014668,0.564854873
0,60,30Min,10,0.23354981,0.616838919,0.276911357,0.064571401,0.47324759
0,60,30Min,12,0.243443439,0.616371822,0.2710146,0.055287081,0.443492322
0,100,30Min,2,0.881926357,0.966443881,0.358714385,0.114600091,0.508150309
0,100,30Min,4,0.603235277,0.900339408,0.35776104,0.108992945,0.686195516
0,100,30Min,6,0.552733742,0.847773662,0.328329496,0.095989221,0.664834542
0,100,30Min,8,0.305813978,0.80991443,0.305968675,0.085660765,0.675494958
0,100,30Min,10,0.35705077,0.71995785,0.293353777,0.070760288,0.654068349
0,100,30Min,12,0.299969434,0.724311663,0.286225379,0.057313281,0.620613409
