,SNR_level,vols,GBS,IBS,group_label_acc,gsm_acc,ism_gsm_corrmean,ism_gsm_corrstd
0,0.05_noise_2,100,30,100,0.9046029220860415,0.9155316663124943,0.4047423296463301,0.04251478225568334
0,0.05_noise_2,100,60,1,0.8827107205593407,0.7858939210340072,0.2612518754531626,0.11792239022442483
0,0.05_noise_2,100,60,10,0.913502227157151,0.895923991281687,0.39798573301891366,0.05691468380293374
0,0.05_noise_2,100,60,30,0.9075593757328794,0.9229187520911268,0.39370646686625405,0.044607198778162604
0,0.05_noise_2,100,60,60,0.912518647725262,0.9204639689844022,0.4075697230360594,0.046440731862840014
0,0.05_noise_2,100,60,100,0.9125124134402571,0.9238796954123838,0.4074387705577003,0.04656956925529917
0,0.05_noise_2,100,100,1,0.8857761693572866,0.8147870406685807,0.2726442992793549,0.09595978244908776
0,0.05_noise_2,100,100,10,0.9135083403814551,0.9112140246526423,0.3981165165581032,0.056472632620638744
0,0.05_noise_2,100,100,30,0.9144926947416759,0.9248750914178862,0.4009625305111054,0.04340958104191674
0,0.05_noise_2,100,100,60,0.9154896863740757,0.9184349310782958,0.4180386182961085,0.048276589839055466
0,0.05_noise_2,100,100,100,0.9184829455159836,0.9267464262957388,0.4114333969720735,0.04591550525382998
0,0.3_noise_3,100,1,1,0.9587276285589768,0.9592034114456994,0.8309264307858092,0.06151105485370566
0,0.3_noise_3,100,1,10,0.9648505435417092,0.9653012240112172,0.8963530960234534,0.028140716283922597
0,0.3_noise_3,100,1,30,0.9648505435417092,0.9653012240112172,0.8978796229224019,0.025567938939920418
0,0.3_noise_3,100,1,60,0.9648505435417092,0.9653012240112172,0.9006678868305118,0.02585947701265121
0,0.3_noise_3,100,1,100,0.9638290717403717,0.964292843145403,0.9009625716430074,0.024065998485122385
0,0.3_noise_3,100,10,1,0.9587276285589768,0.9620906512901233,0.8324839876502264,0.060960695558627265
0,0.3_noise_3,100,10,10,0.9648505435417092,0.966322386897508,0.8972288721560913,0.028041711597438325
0,0.3_noise_3,100,10,30,0.9648505435417092,0.9662259561943243,0.8983647831355421,0.025572556847827946
0,0.3_noise_3,100,10,60,0.9648505435417092,0.9662159994101759,0.9012147937473051,0.025835867540660973
0,0.3_noise_3,100,10,100,0.9638290717403717,0.9657194200406444,0.9018121970257603,0.024030834185656276
0,0.3_noise_3,100,30,1,0.9617866078544988,0.9647128031034127,0.8342430525349347,0.05901792029818563
0,0.3_noise_3,100,30,10,0.9668946188306234,0.9667671207080517,0.8983867018268269,0.02812219427250122
0,0.3_noise_3,100,30,30,0.9668956850548308,0.9674333828456955,0.8990252739815405,0.02565449019296194
0,0.3_noise_3,100,30,60,0.965873307431739,0.9671998574642604,0.9019647068152705,0.025828588670352075
0,0.3_noise_3,100,30,100,0.9668956850548308,0.9672529002051209,0.9028393318603228,0.024055776368656336
0,0.3_noise_3,100,60,1,0.9648505435417092,0.9656730325778435,0.834961088781891,0.05915546202515492
0,0.3_noise_3,100,60,10,0.9668946188306234,0.9668499969774552,0.8987182194787284,0.028078669487174645
0,0.3_noise_3,100,60,30,0.9668956850548308,0.9674607767709791,0.8995286762098775,0.025741728467405717
0,0.3_noise_3,100,60,60,0.9668956850548308,0.9669814710981115,0.9023769048501332,0.025947746281452484
0,0.3_noise_3,100,60,100,0.9668956850548308,0.9673063995019686,0.9030801007500994,0.024081563259021013
0,0.3_noise_3,100,100,1,0.9668946188306234,0.9659338207425573,0.8355541536474933,0.0599479710410102
0,0.3_noise_3,100,100,10,0.9668946188306234,0.9671271908446513,0.8987029654791039,0.028126894627365506
0,0.3_noise_3,100,100,30,0.9679184398894053,0.9676479587787555,0.8998577466767861,0.025615354227547793
0,0.3_noise_3,100,100,60,0.9668956850548308,0.9669498049781642,0.9030855156016282,0.026316272148819403
0,0.3_noise_3,100,100,100,0.9668956850548308,0.9673769508820428,0.9033781808569519,0.02418456593419204
0,0.3_noise_2,100,1,1,0.9679184398894053,0.968356767705147,0.88776601310374,0.07754737907960554
0,0.3_noise_2,100,1,10,0.9679184398894053,0.968356767705147,0.9344308439643078,0.025413805119189115
0,0.3_noise_2,100,1,30,0.9679184398894053,0.968356767705147,0.9408356408430466,0.018802409001464116
0,0.3_noise_2,100,1,60,0.9679184398894053,0.968356767705147,0.9377604417831688,0.021445738649304862
0,0.3_noise_2,100,1,100,0.9679184398894053,0.968356767705147,0.9383548302473897,0.019661653938146978
0,0.3_noise_2,100,10,1,0.9679184398894053,0.9683470003681679,0.8878178799218229,0.077590171032744
0,0.3_noise_2,100,10,10,0.9679184398894053,0.9683178058573313,0.9346420231910703,0.025429036248454554
0,0.3_noise_2,100,10,30,0.9679184398894053,0.968356767705147,0.9408356408430466,0.018802409001464116
0,0.3_noise_2,100,10,60,0.9679184398894053,0.968356767705147,0.9377604417831688,0.021445738649304862
0,0.3_noise_2,100,10,100,0.9679184398894053,0.968356767705147,0.9383548302473897,0.019661653938146978
0,0.3_noise_2,100,30,1,0.9668956850548308,0.9680611703879647,0.887774016328987,0.0777347101110879
0,0.3_noise_2,100,30,10,0.9679184398894053,0.9677689818616444,0.9347008665250807,0.02557909600982123
0,0.3_noise_2,100,30,30,0.9679184398894053,0.9683305046631814,0.9409064666996162,0.018781307921681135
0,0.3_noise_2,100,30,60,0.9679184398894053,0.9682929305054991,0.9378647979606916,0.021379169680761947
0,0.3_noise_2,100,30,100,0.9679184398894053,0.9683305046631814,0.9384251777735535,0.019644268429216624
0,0.3_noise_2,100,60,1,0.9679184398894053,0.9681606936369066,0.8878276466045328,0.07746601784680872
0,0.3_noise_2,100,60,10,0.9679184398894053,0.9681409813333421,0.9347609237358627,0.02552705252060935
0,0.3_noise_2,100,60,30,0.9679184398894053,0.9683042466481291,0.940940721163415,0.0188340693432409
0,0.3_noise_2,100,60,60,0.9679184398894053,0.9683042466481323,0.937860090486686,0.021368912828450562
0,0.3_noise_2,100,60,100,0.9679184398894053,0.9682780278058816,0.9385116223018468,0.01970100058841885
0,0.3_noise_2,100,100,1,0.9679184398894053,0.9682479592926312,0.8879320011745957,0.07753323170717903
0,0.3_noise_2,100,100,10,0.9679184398894053,0.9682645985149904,0.9347151708057526,0.02549387321220993
0,0.3_noise_2,100,100,30,0.9679184398894053,0.968328771669404,0.9409347947657783,0.018835810252513893
0,0.3_noise_2,100,100,60,0.9679184398894053,0.9683017568909065,0.9379042510920244,0.02146250990340372
0,0.3_noise_2,100,100,100,0.9679184398894053,0.9683216361157247,0.9385361204180385,0.0197012804073826
0,0.05_noise_3,200,1,1,0.25176982329689634,0.2549481463144266,0.16146332367868674,0.22379589766517918
0,0.05_noise_3,200,1,10,0.8267839325839755,0.8273733172483578,0.3533190807244321,0.0450947849317664
0,0.05_noise_3,200,1,30,0.8480514447720638,0.8482892408259661,0.38392347692384593,0.04521189695649005
0,0.05_noise_3,200,1,60,0.8454607179586496,0.8455056854393426,0.38846036078974555,0.04449095735051369
0,0.05_noise_3,200,1,100,0.8462890857185572,0.8463945289124952,0.3932117356379769,0.04427919641921113
0,0.05_noise_3,200,10,1,0.25176982329689634,0.36291920972152547,0.1951832033854484,0.2087840303320937
0,0.05_noise_3,200,10,10,0.8267839325839755,0.857621901707832,0.3641650263093007,0.04781604737617738
0,0.05_noise_3,200,10,30,0.8480514447720638,0.8738626755887444,0.3934376459538155,0.04487719209906925
0,0.05_noise_3,200,10,60,0.8454607179586496,0.8726541273143512,0.39795071694556,0.04407583348080336
0,0.05_noise_3,200,10,100,0.8462890857185572,0.873561356315694,0.40383029054572656,0.04401869932160602
0,0.05_noise_3,200,30,1,0.17804200984210808,0.4701196794106942,0.279366391647129,0.16650499672214686
0,0.05_noise_3,200,30,10,0.8738402931203431,0.8976590677649392,0.38008606831263736,0.06023035170018449
0,0.05_noise_3,200,30,30,0.8996163689183235,0.9096667134559211,0.40904215884459694,0.047754628546365405
0,0.05_noise_3,200,30,60,0.8928953146090645,0.9061842439985216,0.41084650648316823,0.04669527854113849
0,0.05_noise_3,200,30,100,0.8828650291363482,0.9036025933933666,0.4179282243787153,0.05148343706984018
0,0.05_noise_3,200,60,1,0.7356861998662121,0.6143983454697616,0.29696312663849883,0.1260008297726608
0,0.05_noise_3,200,60,10,0.9015176875527307,0.9090815988494603,0.38436148129147796,0.05693392249852681
0,0.05_noise_3,200,60,30,0.9016059601686578,0.9106778111712266,0.4126741741197285,0.045597438396521896
0,0.05_noise_3,200,60,60,0.9026649632386191,0.9091359374514744,0.4143277655341747,0.046855299909413575
0,0.05_noise_3,200,60,100,0.8946325266860734,0.912249456257823,0.4240962611891147,0.051826221866344065
0,0.05_noise_3,200,100,1,0.7999663670481155,0.7529836252857577,0.3050460169715831,0.09137542470777825
0,0.05_noise_3,200,100,10,0.8966638123480066,0.91264008332501,0.3857570358619714,0.054311171830675964
0,0.05_noise_3,200,100,30,0.8957095601829245,0.9131032558086889,0.4146264996780477,0.04562069132431498
0,0.05_noise_3,200,100,60,0.8987547858256568,0.9038019919151129,0.4173395536675252,0.04685733949386785
0,0.05_noise_3,200,100,100,0.9115168671841841,0.9161031635042484,0.4259579991673532,0.050066537522554584
0,0.05_noise_2,200,1,1,0.8569292438275624,0.8569826439998415,0.39298537223889,0.065291806729333
0,0.05_noise_2,200,1,10,0.893812665722637,0.8938816022005902,0.5229437033013585,0.03807106339440178
0,0.05_noise_2,200,1,30,0.8947903547430591,0.89486327047721,0.5339163563049155,0.03574990481133991
0,0.05_noise_2,200,1,60,0.8967640101888664,0.8968286318678715,0.5382145462430319,0.03453612890807617
